Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Ames,Scott:BCOM-3360-005-EFFECTIVE BUSINESS COMMUNICATI"	Mean	3.7027	3.1842	3.8421	3.2973	3.6757	3.3889
	N	37	38	38	37	37	36
"Ames,Scott:BCOM-3360-006-EFFECTIVE BUSINESS COMMUNICATI"	Mean	3.75	3.6842	4.2	3.8205	3.625	3.725
	N	40	38	40	39	40	40
"Ames,Scott:MARK-3322-003-PERSONAL SELLING & SALES MGMT"	Mean	4.5833	4.25	4.4167	4.5	4.2727	4.4167
	N	12	12	12	12	11	12
"Ames,Scott:MARK-3322-004-PERSONAL SELLING & SALES MGMT"	Mean	2.8	2.5	2.2	3	2.6	2.1
	N	10	10	10	10	10	10
"Anderson,Anthony:ART-3350-001-INTRO NARRATIVE SCREENWRITING"	Mean	4.3	3.9	4.25	4.1	4.6	4.2
	N	10	10	8	10	10	10
"Anderson,Anthony:ART-4391-003-INDEPENDENT STUDY"	Mean	4.2	4.6	4.8	4.8	4.8	4.6
	N	5	5	5	5	5	5
"Anderson,Anthony:ART-5391-002-INDEPENDENT STUDY"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Anderson,Anthony:ART-5683-001-RES FILM/VIDEO & SCREENWRITING"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Anderson,Cheryl:NURS-4441-001-NURSING: CHILDBEARING FAMILY"	Mean	3.8333	3.1667	3.8333	3.2778	3.7647	3.1765
	N	18	18	18	18	17	17
"Anderson,Cheryl:NURS-4441-002-NURSING: CHILDBEARING FAMILY"	Mean	3.2	2.8	3.2667	3	3.3333	2.9333
	N	15	15	15	15	15	15
"Anderson,Cheryl:NURS-4441-005-NURSING: CHILDBEARING FAMILY"	Mean	3.4	3.4	3.6	3.2	3.4	3.4
	N	5	5	5	5	5	5
"Anderson,Cheryl:NURS-5301-004-RESEARCH IN NURSING"	Mean	4.125	4.5556	4.6667	4.8889	4.8889	4.6667
	N	8	9	9	9	9	9
"Anderson,Cheryl:NURS-5380-016-INDEPENDENT STUDY IN RESEARCH"	Mean	4.6667	4.6667	5	5	5	5
	N	3	3	3	3	3	3
"Anderson,Jennifer:MATH-1302-002-COLLEGE ALGEBRA"	Mean	4.2449	4.0816	3.9388	4.3265	4.2449	4.125
	N	49	49	49	49	49	48
"Anderson,Jennifer:MATH-1323-003-PRECALCULUS II"	Mean	4.3333	4.0811	4.2857	4.2703	4.4595	4.1667
	N	36	37	35	37	37	36
"Anderson,Mindi:NURS-5418-004-ADVANCED HEALTH ASSESSMENT"	Mean	3	3.6667	4	4	4	4
	N	3	3	3	3	3	3
"Anderson,Mindi:NURS-5418-008-ADVANCED HEALTH ASSESSMENT"	Mean	5	4.75	4.25	5	5	5
	N	4	4	4	4	4	4
"Anderson,Nancy:EDUC-4342-001-APPS OF INSTRUC-SECNDRY CLSRMS"	Mean	2.6429	2.4643	3.5	2.3333	3.8929	2.2857
	N	28	28	28	27	28	28
"Andrews,Carly:ACCT-2301-003-PRINCIPLES OF ACCOUNTING I"	Mean	4.0732	3.881	3.8095	4.2381	4.0732	3.9048
	N	41	42	42	42	41	42
"Andrews,Carly:ACCT-2301-004-PRINCIPLES OF ACCOUNTING I"	Mean	4.3462	4.1538	4.2692	4.6154	4.0769	4.4231
	N	26	26	26	26	26	26
"Apilado,Vincent:FINA-3317-001-FINANCIAL INSTIT & MARKETS"	Mean	4.1034	3.6552	4.1724	4.1724	3.7931	3.6552
	N	29	29	29	29	29	29
"Apilado,Vincent:FINA-3317-003-FINANCIAL INSTIT & MARKETS"	Mean	4.3846	4.1667	4.6923	4.7692	4.6667	4.4167
	N	13	12	13	13	12	12
"Appleton,Susan:INTD-3321-001-INTERIOR MATERIALS I"	Mean	3.0769	3.5385	4.0769	3.5385	4	4.0833
	N	13	13	13	13	13	12
"Appleton,Susan:INTD-4562-001-DESIGN STUDIO: INTR DSGN III"	Mean	3.8889	4.1111	4.1111	4.2222	4.3333	4.3333
	N	9	9	9	9	9	9
"Aranda,Xavier:BIOL-4355-001-METHODS IN FORENSIC BIOLOGY"	Mean	4.0476	3.8095	4.3333	3.6667	3.9524	4.0952
	N	21	21	21	21	21	21
"Arce,William:ENGL-2303-002-TOPICS IN LIT"	Mean	4.3448	4.2857	4.6897	4.5517	4.6429	4.4286
	N	29	28	29	29	28	28
"Arce,William:ENGL-5300-001-THEORY & PRAC ENGL STUDIES"	Mean	4.6923	4.7692	4.9167	4.9231	4.3333	4.7692
	N	13	13	12	13	12	13
"Arce,William:MAS-2300-001-INTRODUCTION TO MEXICAN AMERICAN STUDIES"	Mean	4.6522	4.5455	4.7391	4.6667	4.7083	4.4583
	N	23	22	23	21	24	24
"Ardekani,Siamak:CE-3302-001-TRANSPORTATION ENGINEERING"	Mean	4.8	4.8	4.8	4.8	4.7	4.8
	N	10	10	10	10	10	10
"Ardekani,Siamak:CE-6309-001-TRAFFIC FLOW THEORY"	Mean	4.8571	4.8571	4.7143	4.8571	4.75	4.875
	N	7	7	7	7	8	8
"Ardekani,Siamak:CE-6309-002-TRAFFIC FLOW THEORY"	Mean	4.75	4.75	4.5	4.75	4.75	4.75
	N	4	4	4	4	4	4
"Arditti,Lauren:PSYC-3144-001-SOCIAL PROCESSES LAB"	Mean	4.875	4.8	4.9333	4.9375	4.875	5
	N	16	15	15	16	16	16
"Arellano,Miguel:MATH-1315-002-COLLEGE ALGEBRA ECON/BUS ANLYS"	Mean	4.375	4.2821	4.425	4.175	4.45	4.325
	N	40	39	40	40	40	40
"Arnold,Bridgitte:ENGL-2329-016-AMERICAN LIT"	Mean	4.2857	4.3636	4.4545	4.55	4.5238	4.1818
	N	21	22	22	20	21	22
"Arnold,Bridgitte:ENGL-2350-003-INTRO TO TEXTS"	Mean	4.2	4.2	4.6	4.6	4.9	4.2
	N	10	10	10	10	10	10
"Arnold,Bridgitte:ENGL-3300-001-SPEC TOP LIT"	Mean	4.381	4.381	4.619	4.7143	4.7619	4.7143
	N	21	21	21	21	21	21
"Arnold,Bridgitte:ENGL-4390-001-INTERNSHIP IN ENGLISH"	Mean	5	4.75	4.75	4.75	5	5
	N	4	4	4	4	4	4
"Arrowood,Dana:EDTC-4301-001-TECHNOLOGY APPLICATIONS"	Mean	4.4074	4.4444	4.5185	4.3704	4.6296	4.4815
	N	27	27	27	27	27	27
"Arrowood,Dana:EDTC-4301-002-TECHNOLOGY APPLICATIONS"	Mean	4.1481	3.963	4.2593	4.1481	4.5185	4.4815
	N	27	27	27	27	27	27
"Arrowood,Dana:EDTC-4301-003-TECHNOLOGY APPLICATIONS"	Mean	4.3929	4.3793	4.5172	4.6897	4.6429	4.5
	N	28	29	29	29	28	28
"Arrowood,Dana:EDTC-4301-005-TECHNOLOGY APPLICATIONS"	Mean	4.2667	4.2333	4.5333	4.4667	4.5	4.3571
	N	30	30	30	30	30	28
"Arrowood,Dana:LIST-5350-005-LITERACY ASSESSMENT"	Mean	3.3333	3.4	3.6	3.5778	3.3556	3.5556
	N	45	45	45	45	45	45
"Arvidson,Enid:SUPA-5300-002-URBAN PLN & SOC"	Mean	4.8571	4.5714	4.7143	4.8571	4.8571	4.5714
	N	7	7	7	7	7	7
"Atchison,Richard:ARCH-4395-001-SELECTED TOPICS ARCH"	Mean	4.75	4.5833	4.5833	4.8333	4.6667	4.6667
	N	12	12	12	12	12	12
"Atchison,Richard:ARCH-4395-002-SELECTED TOPICS ARCH"	Mean	4.7	4.6	4.4	4.7	4.4444	4.8
	N	10	10	10	10	9	10
"Atchison,Richard:ARCH-5391-002-CONFERENCE COURSE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Atchison,Richard:ARCH-5395-001-TOPICS IN ARCHITECTURE"	Mean	4.5	4	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Atchison,Richard:ARCH-5395-002-TOPICS IN ARCHITECTURE"	Mean	4.5833	4.3333	4.5	4.4167	4.2308	4.4615
	N	12	12	12	12	13	13
"Atchison,Richard:INTD-3329-001-COMPUTER-AIDED DRAWING INTD"	Mean	4.6429	4.5	4.7143	4.6429	4.1429	4.7857
	N	14	14	14	14	14	14
"Athitsos,Vassilis:CSE-4308-001-ARTIFICIAL INTELLIGENCE I"	Mean	4.625	4.5	4.5	5	4.75	4.7143
	N	8	8	8	8	8	7
"Athitsos,Vassilis:CSE-5360-001-ARTIFICIAL INTELLIGENCE I"	Mean	5	4.6667	5	5	5	4.6667
	N	6	6	6	6	6	6
"Ausbrooks,Carrie:EDAD-6399-002-DISSERTATION"	Mean	5	4	5	5	5	5
	N	1	1	1	1	1	1
"Austin,Jeffrey:ACCT-3309-004-ACCOUNTING FOR MANAGERS (2108-81757)"	Mean	4.7143	4.5429	4.6562	4.7353	4.8	4.7714
	N	35	35	32	34	35	35
"Bacchus,Donna:NURS-4462-004-COMMUNITY HEALTH NURSING"	Mean	1.6667	1.6667	3.3333	3	3	2
	N	3	3	3	3	3	2
"Bacchus,Donna:NURS-4462-006-COMMUNITY HEALTH NURSING"	Mean	4	4	4	4	4	4
	N	3	3	3	3	3	3
"Badon,Michelle:BIOL-2460-001-NURSING MICROBIOLOGY"	Mean	4.35	3.9333	4.2333	4.2712	4.05	3.6833
	N	60	60	60	59	60	60
"Bailey,Richard:ENGL-2329-001-AMERICAN LIT"	Mean	4.0357	3.7143	4.2143	4.0714	3.7407	4.0357
	N	28	28	28	28	27	28
"Bailey,Richard:ENGL-2329-002-AMERICAN LIT"	Mean	4.1724	3.9286	4.2143	4.3793	3.75	4.1786
	N	29	28	28	29	28	28
"Bailey,Richard:ENGL-2329-003-AMERICAN LIT"	Mean	3.4516	3.3548	3.6452	3.871	3.2581	3.4138
	N	31	31	31	31	31	29
"Baird,Becky:NURS-3561-005-NURSING OF ADULTS"	Mean	4	4	4	4	4	4
	N	2	2	2	2	2	2
"Baird,Becky:NURS-3561-006-NURSING OF ADULTS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Baird,Becky:NURS-3561-007-NURSING OF ADULTS"	Mean	5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Baker,Harvy:MATH-1302-006-COLLEGE ALGEBRA"	Mean	3.4872	3.1316	3.0263	3.4872	3.4474	3.0263
	N	39	38	38	39	38	38
"Baker,Harvy:MATH-1308-008-ELEM STATISTICAL ANALYSIS"	Mean	3.4	3.0417	2.875	3.4167	4.04	3.0417
	N	25	24	24	24	25	24
"Baker,Harvy:MATH-3314-001-DISCRETE MATHEMATICS"	Mean	3.5714	3.3929	3.6786	3.963	3.9286	3.1071
	N	28	28	28	27	28	28
"Baker,Joy:NURS-5308-001-NURSING INFORMATICS"	Mean	4.2308	4.1538	4.4615	4.5385	4.7692	4.1538
	N	13	13	13	13	13	13
"Baker,Joy:NURS-5308-002-NURSING INFORMATICS"	Mean	3	3.5556	4.1111	3.7778	3.8889	3.5556
	N	9	9	9	9	9	9
"Baker,Joy:NURS-5382-400-NURSING AND HEALTH CARE POLICY"	Mean	4.375	4.625	4.875	4.8571	4.75	4.625
	N	8	8	8	7	8	8
"Baker,Lewis:HUMA-5300-001-CONC BASES HUMA"	Mean	4.5	5	5	5	5	5
	N	2	2	2	2	2	2
"Baker,Revenor:BSTAT-5315-001-HCAD STATISTICAL METHODS"	Mean	3.7879	3.4688	3.8125	4.3333	4.4687	3.1935
	N	33	32	32	33	32	31
"Baker,Susan:MAS-3314-001-THE LATINA EXPERIENCE"	Mean	4.2353	3.8824	4.2941	4.0588	4	4.0588
	N	17	17	17	17	17	17
"Baker,Susan:SOCI-4365-001-TOPICS IN SOCIOLOGY"	Mean	4.2727	4.1	4.1818	3.8182	4	4.1818
	N	11	10	11	11	11	11
"Baldwin,Janice:MANA-3318-011-MANA ORG BEHAV"	Mean	4.2571	4.0857	4.1143	4.5714	4.2571	4.0625
	N	35	35	35	35	35	32
"Baldwin,Janice:MANA-3320-003-PER/HUM RES MGT"	Mean	3.8235	4	3.7647	4.5294	3.9412	3.8824
	N	17	15	17	17	17	17
"Baldwin,Janice:MANA-4320-001-LABOR RELATIONS"	Mean	3.8333	3.8333	4	4.6667	4	3.3333
	N	6	6	6	6	6	6
"Baldwin,Janice:MANA-4320-002-LABOR RELATIONS"	Mean	4.3077	4.1538	4.1538	4.4615	4.3077	4
	N	13	13	13	13	13	13
"Barasch,Linda:CSE-1104-001-INTRODUCTION TO ENGINEERING"	Mean	4.0952	3.7907	3.6512	4.2093	3.6429	3.8095
	N	42	43	43	43	42	42
"Barasch,Linda:CSE-1104-002-INTRODUCTION TO ENGINEERING"	Mean	3.9118	3.9412	3.9063	4.2121	3.8824	3.8125
	N	34	34	32	33	34	32
"Barasch,Linda:CSE-1104-003-INTRODUCTION TO ENGINEERING"	Mean	3.9231	3.8846	4.12	4.2308	3.7083	4.0385
	N	26	26	25	26	24	26
"Barasch,Linda:CSE-3315-001-THEORETICAL CONCEPTS CSE"	Mean	4.5263	4.5263	4.5789	4.7632	4.4595	4.7632
	N	38	38	38	38	37	38
"Barnes,Donelle:NURS-5301-002-RESEARCH IN NURSING"	Mean	4	3.7	4	4.1	4	3.8
	N	10	10	10	10	10	10
"Barnes,Donelle:NURS-5301-003-RESEARCH IN NURSING"	Mean	3.5556	3.2222	4.1111	4.2222	4.3333	3.625
	N	9	9	9	9	9	8
"Barnett,Jesse:ART-2359-001-INTRO PHOTOGRAPHY"	Mean	4.5	4.5714	4.4286	4.4286	4.5	4.5714
	N	14	14	14	14	14	14
"Barr,Terry:CE-4358-001-OPEN CONDUIT SYSTEM"	Mean	4.625	4.5	4.375	4.75	4.4375	4.8125
	N	16	16	16	16	16	16
"Barr,Terry:CE-5346-001-OPEN CHANNEL FLOW"	Mean	4.5	4.1667	4.5	4.6667	3.6667	4.8333
	N	6	6	6	6	6	6
"Barr,Terry:CE-5346-002-OPEN CHANNEL FLOW"	Mean	4.8333	4.8333	4.8333	4.8333	4.5	4.8
	N	6	6	6	6	6	5
"Barr,Wendy:NURS-6302-008-HLTH OF CLTRLY DIV & VUL POPS"	Mean	4.75	4.5	4.75	4.75	4.5	4.5
	N	4	4	4	4	4	4
"Barrett,Edith:URPA-5302-001-URBAN RESEARCH AND ANALYSIS"	Mean	4.3333	4.3333	4.6667	4.6667	4.6667	4.3333
	N	6	6	6	6	6	6
"Barron,Chelsea:EXSA-1247-001-EXERCISE & WEIGHT MANAGEMENT"	Mean	3.75	3.7	4.05	4	3.75	3.9
	N	20	20	20	20	20	20
"Barton,Larry:MUSI-1103-001-HIGH BRASS CLASS"	Mean	3.9412	3.6111	4.0556	4.1111	3.8889	3.2222
	N	17	18	18	18	18	18
"Barton,Larry:MUSI-1104-001-WOODWIND CLASS I"	Mean	3.9474	3.1579	4.2105	3.7368	3.6842	2.7368
	N	19	19	19	19	19	19
"Basham,Randall:SOCW-6350-002-COGNITIVE-BEHAVIORAL INTERVENT"	Mean	4.4444	4.3333	4.1111	4.5556	4.3333	4.3333
	N	9	9	9	9	9	9
"Bastien,Joseph:ANTH-1306-002-INTRO TO ANTHROPOLOGY"	Mean	4.0784	4.0556	4.2115	4.1569	4.2115	4.2264
	N	51	54	52	51	52	53
"Bastien,Joseph:ANTH-3331-001-CULTURE & PRSNL"	Mean	3.8214	3.6429	4.2593	4.0357	3.8929	4.0357
	N	28	28	27	28	28	28
"Bates,Sylvia:NURS-3337-005-INDEPENDENT STUDY"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Bates,Sylvia:NURS-4431-003-NURS CHILDREN & ADOLESCENTS"	Mean	4	3.5	4	3.5	4	4
	N	2	2	2	2	2	2
"Bates,Sylvia:NURS-4431-004-NURS CHILDREN & ADOLESCENTS"	Mean	4.3333	4.3333	4.3333	4.3333	4.3333	4.3333
	N	3	3	3	3	3	3
"Bates,Sylvia:NURS-4431-005-NURS CHILDREN & ADOLESCENTS"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Bates,Sylvia:NURS-4462-013-COMMUNITY HEALTH NURSING"	Mean	3	3	3	3	3	3
	N	1	1	1	1	1	1
"Baxley,Susan:NURS-5327-001-ANALYSIS OF THEORIES FOR NURS"	Mean	4.5294	4.3529	4.7647	4.5294	4.7647	4.6471
	N	17	17	17	17	17	17
"Baxley,Susan:NURS-5327-005-ANALYSIS OF THEORIES FOR NURS"	Mean	4.0714	3.9286	4.4286	4	4.3571	4.0714
	N	14	14	14	14	14	14
"Baxley,Susan:NURS-5328-004-THEORY & RSRCH APPL IN NURSING"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	10	10	10	10	10	10
"Baxter,Corby:ENGL-2329-007-AMERICAN LIT"	Mean	4.1212	4	4.4839	4.4848	4.7	3.8437
	N	33	32	31	33	30	32
"Baxter,Kelly:ENGL-1301-002-EXPOS WRITING"	Mean	4	4.0556	4.3889	4.4444	4.6667	3.9444
	N	18	18	18	18	18	18
"Baxter,Kelly:ENGL-1301-009-EXPOS WRITING"	Mean	4.2632	4.1667	4.6111	4.3684	4.3333	4.2222
	N	19	18	18	19	18	18
"Beamon,Krystal:SOCI-3337-001-RACIAL & ETHNIC GROUPS IN US"	Mean	4.6786	4.6667	4.6552	4.6207	4.3929	4.6429
	N	28	27	29	29	28	28
"Beamon,Krystal:SOCI-4365-002-TOPICS IN SOCIOLOGY"	Mean	4.28	4.4583	4.48	4.36	4.48	4.68
	N	25	24	25	25	25	25
"Beamon,Teerah:PSYC-2443-004-RESEARCH DSGN & STATS I"	Mean	3.8667	4	4.2667	3.9333	3.6667	3.8667
	N	15	15	15	15	15	15
"Beasley,Karen:HIST-1312-702-HISTORY OF U.S."	Mean	4.4	4.2	4.5	4.6	4.4	4.5
	N	20	20	20	20	20	20
