Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that helped me learn.	"The instructor helped me take a role in my own learning, by encouraging questions or other forms of participation as appropriate to the course."	The instructor was well prepared to teach each of the course's units / modules.	The instructor was available for consultation either in person or online.	The instructor is one whom I would recommend to other students.
"Atchison,Richard:ARCH-4356-001-BASIC AUTOCAD"	Mean	4.6	4.6	4.6	4.6	4.4	4.4
	N	5	5	5	5	5	5
"Atchison,Richard:ARCH-4357-001-BLDG INFO MODELING & VISUAL"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Atchison,Richard:ARCH-4358-001-ADVANCED VISUALIZATION"	Mean	4.6667	4.6667	4.3333	4.6667	4.3333	4.6667
	N	3	3	3	3	3	3
"Atchison,Richard:ARCH-5357-001-B. I. M. & Visualization"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Atchison,Richard:ARCH-5358-001-Advanced Visualization"	Mean	5	5	5	3	4	4
	N	1	1	1	1	1	1
"Atha-Weldon,Cindy:INTS-4391-001-INTERDISCIPLINARY CAPSTONE"	Mean	5	4.5	4.5	4.25	4.75	4.5
	N	4	4	4	4	4	4
"Atha-Weldon,Cindy:INTS-4391-002-INTERDISCIPLINARY CAPSTONE"	Mean	4.6364	4.8182	4.7273	4.6364	4.6364	4.8
	N	11	11	11	11	11	10
"Atha-Weldon,Cindy:INTS-4391-003-INTERDISCIPLINARY CAPSTONE"	Mean	4.4286	4.2857	4.5714	4.4286	4.5714	4.5714
	N	7	7	7	7	7	7
"Atha-Weldon,Cindy:INTS-4391-004-INTERDISCIPLINARY CAPSTONE"	Mean	3.8333	4.3333	4.3333	4.6667	5	4.5
	N	6	6	6	6	6	6
"Athitsos,Vassilis:CSE-4317-003-COMPUTER SYS DESIGN PROJECT II"	Mean	3.875	4	4.25	4.25	4.5	4.375
	N	8	8	8	8	8	8
"Athitsos,Vassilis:CSE-4317-004-COMPUTER SYS DESIGN PROJECT II"	Mean	4.1429	4.1429	4.4286	4.2857	4.2857	4.4286
	N	7	7	7	7	7	7
"Athitsos,Vassilis:CSE-6389-001-ADV MM GRAPHICS IMAGE PROC"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Atkinson,Sean:MUSI-2326-002-THEORY & HARMONY IV"	Mean	4.5833	4.5833	4.5833	4.5833	4.4167	4.5455
	N	12	12	12	12	12	11
"Atkinson,Sean:MUSI-3326-001-POST-TONAL ANALYSIS (2132-21845)"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Atkinson,Sean:MUSI-4351-001-MUSIC THEORY CAPSTONE/SEMINAR (2132-21858)"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Atta-Fynn,Raymond:PHYS-1443-002-GENERAL TECHNICAL PHYSICS I"	Mean	3.6471	3.3529	3.1765	3.8235	3.875	3.6471
	N	17	17	17	17	16	17
"Atta-Fynn,Raymond:PHYS-1443-004-GENERAL TECHNICAL PHYSICS I"	Mean	4.3333	4.1111	4.1111	4.5556	4.1111	4.1111
	N	9	9	9	9	9	9
"Austin,Amy:SPAN-3315-003-COMPOSITION THROUGH LITERATURE"	Mean	4.8333	4.8333	4.8333	4.3333	4.8333	4.8333
	N	6	6	6	6	6	6
"Austin,Amy:SPAN-4310-001-PENINSULAR LIT & CUL TO 18TH C"	Mean	4.3333	4.1905	4.1429	4.1905	4.35	4.3333
	N	21	21	21	21	20	21
"Austin,Amy:SPAN-5310-001-SPAN LIT TO 18C"	Mean	4.6667	4.3333	4.6667	4.3333	5	4.6667
	N	3	3	3	3	3	3
"Awe,Olajumoke:OPMA-3306-002-OPERATIONS MANAGEMENT"	Mean	3.1429	3	3.1429	3.4286	4.1429	2.8571
	N	7	7	7	7	7	7
"Babcock,Meghan:PSYC-4411-002-ADVANCED TOPICS IN PERSONALITY"	Mean	4.9	4.9	4.8	4.9	4.9	4.9
	N	10	10	10	10	10	10
"Bacchus,Donna:FS-NURS-1300-002-INTRO TO PROFESSIONAL NURSING"	Mean	4.4286	4.1429	4.1429	4.6667	4	3.5714
	N	7	7	7	6	7	7
"Bacchus,Donna:FS-NURS-1300-005-INTRO TO PROFESSIONAL NURSING"	Mean	4.8	3.8	4	4.4	4.4	4
	N	5	5	5	5	5	5
"Bacchus,Donna:FS-NURS-1300-009-INTRO TO PROFESSIONAL NURSING"	Mean	4	4.1429	4.4286	4	4.1429	4.2857
	N	7	7	7	7	7	7
"Badon,Michelle:BIOL-2460-001-NURSING MICROBIOLOGY"	Mean	4.1579	3.2632	3.7895	4.2632	3.8421	3.6316
	N	19	19	19	19	19	19
"Badon,Michelle:BIOL-2460-500-NURSING MICROBIOLOGY"	Mean	4.5	2.5	2.8333	2.5	3	2.3333
	N	6	6	6	6	6	6
"Badon,Michelle:BIOL-2460-501-NURSING MICROBIOLOGY"	Mean	4.8571	3.3333	3.3333	3	3.1667	2.8571
	N	7	6	6	5	6	7
"Badon,Michelle:BIOL-2460-700-NURSING MICROBIOLOGY"	Mean	4	3.4	3.4444	3.6667	3.8889	3.4
	N	9	10	9	9	9	10
"Badon,Michelle:BIOL-2460-701-NURSING MICROBIOLOGY"	Mean	4.6667	4.1667	3.8	4.6	4.25	4
	N	6	6	5	5	4	5
"Baeva,Tatiana:ENGL-3306-001 & RUSS-3306-001-SOVIET/POST-SOVIET LIT IN TRAN (2132-1-0096)"	Mean	4	3.5	3.25	4.25	3	3.25
	N	4	4	4	4	3	4
"Baeva,Tatiana:RUSS-2313-022-INTERMEDIATE RUSSIAN I"	Mean	4.6667	4.3333	4.6667	4.3333	4.6667	5
	N	3	3	3	3	3	3
"Bagby,Daniel:MILS-0180-001 / 003-LEADERSHIP LAB (2132-1-0017)"	Mean	4.75	4.625	4.75	4.5	4.5	4.5
	N	8	8	8	8	8	8
"Bagby,Daniel:MILS-0180-002 / 004-LEADERSHIP LAB (2132-1-0018)"	Mean	4.125	4.5714	4.4286	4.25	4.375	4.4286
	N	8	7	7	8	8	7
"Baggette,Wade:OPMA-3306-007-OPERATIONS MANAGEMENT"	Mean	4	3.5714	4.4286	3.5714	4.6667	3.5714
	N	7	7	7	7	6	7
"Baker,Harvy:MATH-1302-001-COLLEGE ALGEBRA"	Mean	3	3	3	2	4	3
	N	1	1	1	1	1	1
"Baker,Harvy:MATH-1308-004-ELEM STATISTICAL ANALYSIS"	Mean	3.5	2.7	2.8889	3.7	4	2.8889
	N	10	10	9	10	10	9
"Baker,Harvy:MATH-1315-001-COLLEGE ALGEBRA ECON/BUS ANLYS"	Mean	4.25	3.25	3.5	3.875	3.875	3.375
	N	8	8	8	8	8	8
"Baker,Harvy:MATH-3314-001-DISCRETE MATHEMATICS"	Mean	3.7143	3.2857	3.5714	3.8571	4.1429	3.7143
	N	7	7	7	7	7	7
"Baker,Harvy:MATH-4314-001-ADV DISCRETE MATHEMATICS"	Mean	2.9167	2.8462	3.4615	2.8462	3.9167	3.1818
	N	12	13	13	13	12	11
"Baker,Joy:NURS-5382-001-NURSING AND HEALTH CARE POLICY"	Mean	4.4	4.2	4.8	4.4	4.8	4.2
	N	5	5	5	5	5	5
"Baker,Joy:NURS-5382-400-NURSING AND HEALTH CARE POLICY"	Mean	4	3.6	4.0667	4.3333	4.3571	3.9333
	N	14	15	15	15	14	15
"Baker,Joy:NURS-5382-401-NURSING AND HEALTH CARE POLICY"	Mean	3.75	3.625	3.875	4.1429	4.375	4
	N	8	8	8	7	8	8
"Baker,Joyce:SPAN-1441-032-BEGINNING SPANISH I"	Mean	4.1667	3.8333	3.8333	4.1667	3.5	3.8333
	N	6	6	6	6	6	6
"Baker,Joyce:SPAN-1442-003-BEGINNING SPANISH II"	Mean	3.6667	4.3333	4.3333	4	4.6667	3.6667
	N	3	3	3	3	3	3
"Baker,Joyce:SPAN-1442-032-BEGINNING SPANISH II"	Mean	4.3333	3.6667	4.1667	4	3.8333	3.8333
	N	6	6	6	6	6	6
"Baker,Lewis:PHIL-1310-001-PHIL PERSPECTV"	Mean	4.6667	4	4.6667	4.8333	4.1667	4.3333
	N	6	6	6	6	6	6
"Baker,Lewis:PHIL-1310-002-PHIL PERSPECTV"	Mean	4.4	3.6	4.2	4.6	3.75	4
	N	5	5	5	5	4	5
"Baker,Lewis:PHIL-4389-001-TOPICS SOC SCI & HONR-LA-4303-007-ADVANCED SPECIAL TOPICS"	Mean	4.6	4.8	5	4.8	4.25	4.8
	N	5	5	5	5	4	5
