Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Ahmad,Ishfaq:CSE-4351-001-PARALLEL PROCESSING"	Mean	4	3.5	4	3	4	3
	N	4	4	4	4	4	4
"Ahmad,Ishfaq:CSE-5351-001-PARALLEL PROCESSING"	Mean	4	4.25	4.6667	4.1667	4.5833	4.25
	N	12	12	12	12	12	12
"Ahmad,Maha:BIOL-2457-001-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	2.9143	2.5143	2.8857	2.7606	3.4348	2.4
	N	70	70	70	71	69	70
"Ahmad,Maha:BIOL-2458-001-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	3.7215	3.3375	3.6296	3.775	3.8875	3.5125
	N	79	80	81	80	80	80
"Akalin,Gurkan:OPMA-3306-001-OPERATIONS MANAGEMENT"	Mean	3.931	3.5185	3.8519	4.0357	4.069	3.75
	N	29	27	27	28	29	28
"Aktosun,Tuncay:MATH-5322-001-COMPLEX VARIABLES I"	Mean	4.8261	4.5652	4.5217	4.7391	4.8261	4.7273
	N	23	23	23	23	23	22
"Alaimo,Stacy:ENGL 2329 020"	Mean	4.7	4.4545	4.7273	4.9091	4.5455	4.4545
	N	10	11	11	11	11	11
"Alaimo,Stacy:ENGL 6370 001"	Mean	4.6667	4	4.8333	5	4.8333	4.3333
	N	6	6	6	6	6	6
"Alavi,Kambiz:EE-2303-001-ELECTRONICS I"	Mean	4.0769	4	4.4231	4.2692	4.3846	4.36
	N	26	26	26	26	26	25
"Alavi,Kambiz:EE-5340-001-SEMICONDUCTOR DEVICE THEORY"	Mean	4	4.0556	4.2222	4.1765	4.3889	3.8889
	N	18	18	18	17	18	18
"Alba,Albert:MILS-4342-001-ADVANCED LEADERSHIP II (2102-20701)"	Mean	4.2727	4.5	4.4091	4.4348	4.5652	4.4348
	N	22	22	22	23	23	23
"Alba,Albert:MILS-4391-001-CONFERENCE COURSE (2102-20702)"	Mean	4.5	5	5	4.5	5	5
	N	2	2	2	2	2	2
"Alexander,Karen:MILS-2252-001-LEAD AND TEAM (2102-20697)"	Mean	4.7778	4.7778	4.8889	4.8889	4.875	4.875
	N	9	9	9	9	8	8
"Alexander,Karen:MILS-2252-002-LEAD AND TEAM (2102-20698)"	Mean	4.2963	4.4138	4.4643	4.5	4.4828	4.4667
	N	27	29	28	30	29	30
"Alexandrakis,Georgios:BE-5325-003-FLUORESCENCE MICROSCOPY"	Mean	4.6	4.2	4	4.2	4.4	4.4
	N	5	5	5	5	5	5
"Alexandrowicz,Neal:GEOL-1426-002-EARTH HISTORY"	Mean	4	3.7931	4	4.25	4.5357	3.75
	N	29	29	29	28	28	28
"Allmond,Karen:MAED-5353-005-PROBABILITY & STATISTICS"	Mean	4.4	4.6	4.6	4.6	4.6	4.6
	N	5	5	5	5	5	5
"Allmond,Karen:MAED-5354-005-PROBLEM SOLVING"	Mean	4.5714	4.2857	4.1429	4.2857	4.2857	4.2857
	N	7	7	7	7	7	7
"Almendarez,Mary:SOCW-4251-001-SOCIAL WORK FIELD SEMINAR I"	Mean	4.1667	4.1667	4.2727	4.3333	4.3333	4.1667
	N	12	12	11	12	12	12
"Altomare,Edwin:FINA-5340-001-FINANCIAL APPLICATIONS"	Mean	4.5333	4.375	4.1875	4.375	4.4667	4.25
	N	15	16	16	16	15	16
"Amacher,Ryan:ECON-2306-008-PRIN MICRO ECO"	Mean	4.6364	4.1818	4.1818	4.2381	4.4545	4.3182
	N	22	22	22	21	22	22
"Aman,Kelly:MATH-1323-003-PRECALCULUS II"	Mean	4.1053	4.1053	4.1667	3.95	4.1667	3.8947
	N	19	19	18	20	18	19
"Amaro-Jimenez,Carla:BEEP-4306-001-FAM LITERACY & 2ND LANG ACQUIS (2102-20500)"	Mean	4.18	4.2353	4.5294	4.4706	4.6275	4.5306
	N	50	51	51	51	51	49
"Amaro-Jimenez,Carla:BEEP-4306-004-FAM LITERACY & 2ND LANG ACQUIS"	Mean	3.8478	3.9348	4.2609	4.0652	4.3696	3.9111
	N	46	46	46	46	46	45
"Amaro-Jimenez,Carla:BEEP-4384-002-LIT METHODS ESL/BILING CLSRMS"	Mean	4.7027	4.6216	4.5	4.6486	4.6486	4.6571
	N	37	37	36	37	37	35
"Amaya,Miguel:MAE-2312-002-SOLID MECHANICS"	Mean	4.475	4.2683	4.375	4.3659	4.55	4.5366
	N	40	41	40	41	40	41
"Ambartsoumian,Gaik:MATH-3319-003-DIFF EQ & LINEAR ALGEBRA"	Mean	4.4643	4.4483	4.4333	4.7241	4.4	4.6667
	N	28	29	30	29	30	30
"Ambartsoumian,Gaik:MATH-3335-001-ANALYSIS I"	Mean	4.5	4.2143	4.6429	4.7143	4.8571	4.7143
	N	14	14	14	14	14	14
"Anderson,Anthony:ART-4352-001-NARRATIVE FILM/VIDEO"	Mean	4.3846	4.4231	4.5769	4.4615	4.5	4.5769
	N	26	26	26	26	26	26
"Anderson,Anthony:ART-5383-001-RES FILM/VIDEO & SCREENWRITING"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Anderson,Anthony:ART-5683-001-RES FILM/VIDEO & SCREENWRITING"	Mean	1	2	4	3	5	2
	N	1	1	1	1	1	1
"Anderson,Cheryl:NURS-5301-003-RESEARCH IN NURSING"	Mean	4.5	4.6154	4.7857	4.6429	4.7143	4.6429
	N	14	13	14	14	14	14
"Anderson,Jennifer:MATH-1302-008-COLLEGE ALGEBRA"	Mean	4.1905	4	4.119	4.2326	4.3953	4.1163
	N	42	41	42	43	43	43
"Anderson,Mindi:NURS-5418-007-ADVANCED HEALTH ASSESSMENT"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Ando,Sachi:SOCW-3325-001-SOCIAL WORK STATISTICS"	Mean	4.1739	4.1818	4.2174	4	4.5217	4.2609
	N	23	22	23	23	23	23
"Andrade,Brandi:THEA-1342-001-THEATRE & FILM APPRECIATION"	Mean	4.4493	4.2941	4.0725	4.5	4.3676	4.5
	N	69	68	69	68	68	68
"Andrade,Brandi:THEA-1343-001-INTRODUCTION TO THEATRE"	Mean	4.6522	4.6957	4.7273	4.6087	4.4545	4.6522
	N	23	23	22	23	22	23
"Andrews,Carly:ACCT-4311-001-ADVANCED FINANCIAL TOPICS"	Mean	4.48	4.6	4.32	4.8333	4.52	4.64
	N	25	25	25	24	25	25
"Andrews,Carly:ACCT-5319-001-FINANCIAL ACCOUNTING III"	Mean	4.6129	4.5806	4.6129	4.6774	4.7097	4.6452
	N	31	31	31	31	31	31
"Anjomani,Ardeshir:CIRP-5309-001-TRANSPORTATION/LAND USE"	Mean	3.5385	3.0769	3.9231	3.5385	4.4615	3.7692
	N	13	13	13	13	13	13
"Anjomani,Ardeshir:CIRP-5318-001-TECHNIQUES PLANNING & ANALYSIS"	Mean	3.913	3.6522	4	4	4.4783	4
	N	23	23	23	23	23	23
"Anjomani,Ardeshir:CIRP-5318-002-TECHNIQUES PLANNING & ANALYSIS"	Mean	2.7727	2.7083	3.2917	3.2917	3.5652	2.6667
	N	22	24	24	24	23	24
"Appleton,Susan:INTD 3305-001"	Mean	3.4286	3.8571	4	3.7143	4.2857	4.4286
	N	7	7	7	7	7	7
"Appleton,Susan:INTD-4563-001-DESIGN STUDIO: INTR DSGN IV"	Mean	4.4	4.5	4.4	4.6	4.6	4.7
	N	10	10	10	10	10	10
"Arce,William:ENGL-3340-002-HIST AMER LIT"	Mean	4.15	4.3684	4.5789	4.25	4.2	4.15
	N	20	19	19	20	20	20
"Arce,William:ENGL-3346-001-MEXICAN AMERICAN LITERATURE"	Mean	4.4762	4.3333	4.4286	4.2857	4.3333	4.2381
	N	21	21	21	21	21	21
"Ardekani,Siamak:CE-3302-001-TRANSPORTATION ENGINEERING"	Mean	4.8148	4.7931	4.75	4.931	4.8276	4.931
	N	27	29	28	29	29	29
"Ardekani,Siamak:CE-4312-001-STREET AND HIGHWAY DESIGN"	Mean	4.9375	4.8235	4.7647	5	4.7647	5
	N	16	17	17	17	17	17
"Ardekani,Siamak:CE-5332-002-HIGHWAY DESIGN"	Mean	4.6667	4.6667	4.6667	5	5	5
	N	3	3	3	3	3	3
"Armstrong,Daniel:CHEM-5101-001-SEMINAR IN CHEMISTRY"	Mean	3.8824	3.9444	3.8333	3.9444	3.8333	4.1765
	N	17	18	18	18	18	17
"Armstrong,Daniel:CHEM-5300-001-SEL TOPICS IN ADVANCED CHEM"	Mean	4.7778	4.6667	4.8889	4.6667	4.8333	4.9444
	N	18	18	18	18	18	18
"Arnold,Bridgitte:ENGL-2350-002-INTRO TO TEXTS"	Mean	4.4545	4.5455	4.8182	4.9091	4.9091	4.8182
	N	11	11	11	11	11	11
"Arnold,Bridgitte:ENGL-3300-003-SPEC TOP LIT"	Mean	4.4615	4.4615	4.4615	4.6923	4.6154	4.6923
	N	13	13	13	13	13	13
"Arnold,Bridgitte:ENGL-4390-001-INTERNSHIP IN ENGLISH"	Mean	4.75	4.75	4.75	4.75	4.75	4.75
	N	4	4	4	4	4	4
"Arnold,Bridgitte:WOMS 4392-001"	Mean	4.75	4.8	5	4.8	4.6	4.25
	N	4	5	5	5	5	4
"Arnold,Patricia:SPAN-1442-009-BEGINNING SPANISH II"	Mean	3.8421	3.15	3.9474	3.8	3.5789	2.95
	N	19	20	19	20	19	20
"Arnold,Patricia:SPAN-2313-010-INTERMEDIATE SPANISH I"	Mean	4.25	3.9	4.3	4.5	4.15	4.05
	N	20	20	20	20	20	20
"Arrowood,Dana:EDTC-4301-001-TECHNOLOGY APPLICATIONS"	Mean	4.1923	4.2692	4.5	4.4444	4.3462	4.2308
	N	26	26	26	27	26	26
"Arrowood,Dana:EDTC-4301-002-TECHNOLOGY APPLICATIONS"	Mean	3.8571	4.1786	4.1786	4.4231	4.1429	4.0714
	N	28	28	28	26	28	28
"Arrowood,Dana:EDTC-4301-003-TECHNOLOGY APPLICATIONS"	Mean	4.2727	4.1818	4.2857	4.1818	4.35	4.5
	N	22	22	21	22	20	22
"Arrowood,Dana:EDTC-4301-004-TECHNOLOGY APPLICATIONS"	Mean	4.1579	4.3158	4.6111	4.6316	4.7368	4.5
	N	19	19	18	19	19	18
"Arrowood,Dana:LIST-5316-005-LITERACY PRACTICUM I"	Mean	4.2	4	4.2	4.2	3.8	4
	N	5	5	5	5	5	5
"Arrowood,Dana:LIST-5316-305-LITERACY PRACTICUM I"	Mean	4.3333	4.6667	4.6667	4.3333	3.6667	4
	N	3	3	3	3	3	3
"Arvidson,Enid:CIRP-5332-001-PROJECT STUDIO"	Mean	4.9231	4.6923	4.7692	4.8462	4.9231	4.8462
	N	13	13	13	13	13	13
"Arvidson,Enid:SUPA-5301-001-URBAN POL & ECO"	Mean	4	4	4	4.5	4.75	4.25
	N	4	4	4	4	4	4
"Atchison,Richard:ARCH-4395-001-SELECTED TOPICS ARCH"	Mean	4.6364	4.5455	4.4545	4.5455	4.6364	4.7273
	N	11	11	11	11	11	11
"Atchison,Richard:ARCH-4395-002-SELECTED TOPICS ARCH"	Mean	4.8333	4.9167	4.75	4.9167	4.75	4.9167
	N	12	12	12	12	12	12
"Atchison,Richard:ARCH-4395-003-SELECTED TOPICS ARCH"	Mean	4.5833	4.5833	4.6364	4.6667	4.4167	4.6667
	N	12	12	11	12	12	12
"Atchison,Richard:ARCH-5395-001-TOPICS IN ARCHITECTURE"	Mean	4.1818	4.2727	4.2727	4.3636	4	4.1818
	N	11	11	11	11	11	11
"Atchison,Richard:ARCH-5395-002-TOPICS IN ARCHITECTURE"	Mean	4.1111	3.8889	3.7778	3.6667	3.7778	4
	N	9	9	9	9	9	9
"Atchison,Richard:ARCH-5395-003-TOPICS IN ARCHITECTURE"	Mean	4.5294	4.3529	4.3529	4.7059	4.4706	4.7059
	N	17	17	17	17	17	17
"Ateek,Stefan:SOCW-6312-001-GROUP DYNAMICS I & SOCW PRACT"	Mean	4	4	5	4.5	5	4.5
	N	2	2	2	2	2	2
"Atha-Weldon,Cindy:INTS-2301-001-INTERDISCIPLINARY PERSPECTIVES"	Mean	4.3514	4.3514	4.5135	4.6216	4.8378	4.4865
	N	37	37	37	37	37	37
"Atha-Weldon,Cindy:INTS-2301-009-INTERDISCIPLINARY PERSPECTIVES"	Mean	4.08	4.04	4.2917	4.4583	4.5	4.44
	N	25	25	24	24	24	25
"Atha-Weldon,Cindy:INTS-4391-006-INTERDISCIPLINARY CAPSTONE"	Mean	5	4.8333	5	5	5	5
	N	6	6	5	6	6	6
"Athitsos,Vassilis:CSE-1311-002-INTRO PROGRAMMING ENGRS & SCI"	Mean	4.4286	4.2667	4.4	4.2667	4.4286	4.2857
	N	14	15	15	15	14	14
"Athitsos,Vassilis:CSE-6367-001-COMPUTER VISION"	Mean	4.4444	4.4444	4.4444	4.5556	4.3333	4.5556
	N	9	9	9	9	9	9
"Atkinson,Sean:MUSI-2326-002-THEORY & HARMONY IV"	Mean	4.7857	4.7857	4.8571	4.8571	4.7857	4.7857
	N	14	14	14	14	14	14
"Atkinson,Sean:MUSI-3326-001-POST-TONAL ANALYSIS (2102-24265)"	Mean	5	5	4.5	5	5	4.5
	N	2	2	2	2	2	2
"Atkinson,Sean:MUSI-3391-001-ADVANCED THEORY II"	Mean	4.6667	4.6667	5	5	5	5
	N	3	3	3	3	3	3
"Atkinson,Sean:MUSI-5308-001-MUSIC HISTORY SELECTED TOPICS"	Mean	3.8889	4	3.8889	4.2222	4.2222	3.5556
	N	9	9	9	9	9	9
"Austin,Amy:SPAN-3303-002-ADVANCED SPANISH CONVERSATION"	Mean	4.4444	4.4444	4.7222	4.6111	4.4444	4.6111
	N	18	18	18	18	18	18
"Austin,Amy:SPAN-4310-001-PENINSULAR LIT & CUL TO 18TH C"	Mean	4.4	4.4	4.64	4.6	4.36	4.48
	N	25	25	25	25	25	25
"Austin,Amy:SPAN-5310-001-SPAN LIT TO 18C"	Mean	4.1818	4	4.4545	4.4545	4.4545	4.2727
	N	11	11	11	11	11	11
"Austin,Dana:ANTH-4407-001-FORENSIC ANTHROPOLOGY"	Mean	4.2857	4.1429	4.7143	4.7143	4.8571	4.8571
	N	7	7	7	7	7	7
"Austin,Dana:ANTH-5307-001-FORENSIC ANTHROPOLOGY"	Mean	5	5	5	4	5	5
	N	1	1	1	1	1	1
"Austin,Jeffrey:ACCT-3309-004-ACCOUNTING FOR MANAGERS (2102-24701)"	Mean	4.7143	4.8667	4.8	4.8667	4.8667	4.9333
	N	14	15	15	15	15	15
"Babcock,Trevor:ENGL-1301-015-EXPOS WRITING"	Mean	4.7273	4.4	4.7273	4.7	4.7273	4.9091
	N	11	10	11	10	11	11
"Babcock,Trevor:ENGL-1301-017-EXPOS WRITING"	Mean	4.8333	4.8	4.6667	4.6667	4.5	4.8333
	N	6	5	6	6	4	6
"Babcock,Trevor:ENGL-1301-024-EXPOS WRITING"	Mean	4.7	4.6	4.7778	4.7143	4.6	4.875
	N	10	10	9	7	10	8
"Babcock,Trevor:ENGL-1302-029-CRITICAL THINK, READ, WRITE"	Mean	4.5	4.4	4.4667	4.4667	4.4667	4.5
	N	14	15	15	15	15	14
"Babiracki,Patryk:HIST-2302-002-HIST OF CIVILIZATION"	Mean	3.8667	3.6429	4.6	4.5385	4.3333	3.7143
	N	15	14	15	13	15	14
"Babiracki,Patryk:HIST-4388-003-SEL TOP HIST"	Mean	3.25	2.9167	4	3.9167	4.0833	2.75
	N	12	12	12	12	12	12
"Badon,Michelle:BIOL-2460-001-NURSING MICRO"	Mean	4.42	3.84	4.36	4.3469	4.44	3.7
	N	50	50	50	49	50	50
"Baeva,Tatiana:RUSS-2313-022-INTERMEDIATE RUSSIAN I"	Mean	4.1	3.8182	4.0909	4.4545	4.1818	4.0909
	N	10	11	11	11	11	11
"Baeva,Tatiana:RUSS-2314-022-INTERMEDIATE RUSSIAN II"	Mean	4	3.8182	4.0909	4.4545	4.1818	4
	N	11	11	11	11	11	11
"Baeva,Tatiana:RUSS-3306-001-SOVIET POST LIT"	Mean	4.1667	4.5	4.8333	4.5	4.6667	4.6667
	N	6	6	6	6	6	6
"Bailey,Richard:ENGL-2329-003-AMERICAN LIT"	Mean	4.1538	3.6538	4.32	4.3846	3.84	3.92
	N	26	26	25	26	25	25
"Bailey,Richard:ENGL-2329-005-AMERICAN LIT"	Mean	4.2143	4.1071	4.5	4.3571	3.9643	4.5
	N	28	28	28	28	28	28
"Baker,Harvy:MATH-1302-005-COLLEGE ALGEBRA"	Mean	3.5833	3.3333	3.875	3.7917	3.913	3.2609
	N	24	24	24	24	23	23
"Baker,Harvy:MATH-3314-001-DISCRETE MATHEMATICS"	Mean	3.7368	3.6111	3.7368	3.7895	4.1053	3.5
	N	19	18	19	19	19	18
"Baker,Harvy:MATH-4314-001-ADV DISCRETE MATHEMATICS"	Mean	3.3636	3.5455	3.7273	3.7273	3.9091	3.8182
	N	11	11	11	11	11	11
"Baker,Joy:NURS-5382-001-NURSING AND HEALTH CARE POLICY"	Mean	4.5833	4.75	4.8182	4.8333	4.9167	4.8333
	N	12	12	11	12	12	12
"Baker,Joyce:SPAN-1442-011-BEGINNING SPANISH II"	Mean	4.4	4.375	4.375	4.375	3.8125	4.2
	N	15	16	16	16	16	15
"Baker,Joyce:SPAN-2313-004-INTERMEDIATE SPANISH I"	Mean	4.375	4.1429	4.625	4.4286	4.375	4.7143
	N	8	7	8	7	8	7
"Baker,Joyce:SPAN-2313-007-INTERMEDIATE SPANISH I"	Mean	4.3846	4.3571	4.2857	4.4286	4.3571	4.5385
	N	13	14	14	14	14	13
"Baker,Lewis:HUMA-5306-001-CRIT AND LANG"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Baker,Lewis:PHIL-1310-001-PHIL PERSPECTV"	Mean	4.625	4.75	4.75	4.75	4.75	4.875
	N	8	8	8	8	8	8
"Baker,Lewis:PHIL-1310-002-PHIL PERSPECTV"	Mean	4.4118	4.3529	4.4706	4.5882	4.2941	4.4118
	N	17	17	17	17	17	17
"Baker,Revenor:OPMA-4307-001-QUALITY PLANNING AND ANALYSIS"	Mean	3.0833	3.1667	4	4.3333	4	3.1667
	N	12	12	12	12	12	12
"Baker,Revenor:OPMA-5367-001-QUALITY MANAGEMENT"	Mean	4.8889	5	4.8889	4.8889	4.5556	4.6667
	N	9	9	9	9	9	9
"Baldon,Suzanne:ANTH-4322-001-PROBLEMS IN ANTHROPOLOGY"	Mean	4.5333	4.4	4.4667	4.5714	4.4	4.6
	N	15	15	15	14	15	15
"Baldwin,Janice:MANA-3318-002-MANA ORG BEHAV"	Mean	4.0909	4	4.1515	4.3871	4	3.871
	N	33	31	33	31	30	31
"Baldwin,Janice:MANA-3318-007-MANA ORG BEHAV"	Mean	4.16	4	3.92	4.4167	3.7917	3.7273
	N	25	25	25	24	24	22
"Baldwin,Janice:MANA-3318-011-MANA ORG BEHAV"	Mean	4.1935	3.8437	4	4.2813	3.7097	3.5172
	N	31	32	31	32	31	29
"Baldwin,Janice:MANA-3320-005-PER/HUM RES MGT"	Mean	3.6071	3.75	3.75	4	3.4643	3.25
	N	28	28	28	28	28	28
"Ball,Dale:MSE-5312-001-MECH BEHAV MATL"	Mean	3.6923	3.5333	3.4667	3.8	3.8	3.3333
	N	13	15	15	15	15	15
"Baptist,Georgetta:HCAD-5392-001-SPCL TOPICS"	Mean	4	4	4	4	4	4
	N	2	2	2	2	2	2
"Baptist,Georgetta:HCAD-5399-001-GRAD HEALTH CARE ADMN INTERNSH"	Mean	3.5714	4	3.8571	3.7143	2.7143	3
	N	7	7	7	7	7	7
"Barasch,Linda:CSE-1104-001-INTRODUCTION TO ENGINEERING"	Mean	4.1935	3.871	3.9677	4.3437	3.9375	3.9032
	N	31	31	31	32	32	31
"Barasch,Linda:CSE-1104-002-INTRODUCTION TO ENGINEERING"	Mean	3.8889	3.7037	3.7407	4.1852	3.6923	3.6296
	N	27	27	27	27	26	27
"Barasch,Linda:CSE-3315-001-THEORETICAL CONCEPTS CSE"	Mean	4.4211	4.1	4.45	4.65	4.15	4.45
	N	19	20	20	20	20	20
"Barnes,Donelle:NURS-5301-002-RESEARCH IN NURSING"	Mean	3.625	3.5	3.5	3.875	3.875	3
	N	8	8	8	8	8	8
"Barnes,Donelle:NURS-6305-011-QUALITATIVE RESEARCH"	Mean	4.5	4.5	4.8333	5	4.6667	4.5
	N	6	6	6	6	6	6
"Barr,Wendy:NURS-5329-001-ROLE OF THE NURSE EDUCATOR (2102-22886)"	Mean	4.3636	4.2727	4.4545	4.6364	4.5455	4.6364
	N	11	11	11	11	11	11
"Barrett,Edith:URPA-5345-001-EVALUATION RESEARCH"	Mean	4.6429	4.6923	4.6429	4.7692	4.9286	4.8571
	N	14	13	14	13	14	14
"Barrett,Edith:URPA-5345-002-EVALUATION RESEARCH"	Mean	4.2	4	4.4	4.4	4	4.2
	N	5	5	5	5	5	5
"Barrett,Marjie:SOCW-3302-003-HUM BEHAV II"	Mean	4	4.0588	4.3529	3.7647	3.875	3.8235
	N	17	17	17	17	16	17
"Barton,Larry:MUSI 1106 001"	Mean	4.0476	3.3636	3.5455	3.7727	3.7727	3.0909
	N	21	22	22	22	22	22
"Barton,Larry:MUSI 1107 001"	Mean	3.6471	3.0588	3.5882	3.5882	3.2353	2.8235
	N	17	17	17	17	17	17
"Basco,Monica:PSYC-3318-001-ABNORMAL PSYCHOLOGY"	Mean	4.7174	4.6204	4.5662	4.8333	4.6103	4.8015
	N	138	137	136	138	136	136
"Basham,Matthew:EDAD-5354-001-THE AMERICAN COMMUNITY COLLEGE"	Mean	4.5556	4.2222	4.4444	4.4444	4.5556	4.5556
	N	9	9	9	9	9	9
"Basham,Randall:SOCW-6325-001-ADVANCED MICRO PRACTICE"	Mean	4.5556	3.963	4.037	4.4615	4.3077	4.1481
	N	27	27	27	26	26	27
"Basham,Randall:SOCW-6325-002-ADVANCED MICRO PRACTICE"	Mean	4.3333	3.72	3.92	4.28	4.2917	3.96
	N	24	25	25	25	24	25
"Bass,Ogden:LARC-5302-001-LAND DEVELOPMENT PLANNING"	Mean	4.8571	4.9286	4.6429	4.8571	4.5714	4.8571
	N	14	14	14	14	14	14
"Bastien,Joseph:ANTH-5325-001-QUALITATIVE METHODS"	Mean	3.375	3	4.125	3.5	3.25	3
	N	8	8	8	8	8	8
"Bates,Sylvia:NURS-3320-601-HOLISTIC HEALTH ASSESSMENT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Baum,Andrew:PSYC-5309-001-HEALTH PSYCHOLOGY"	Mean	4.3333	4.1667	4.9167	4.6667	4.4167	4.5833
	N	12	12	12	12	12	12
"Baum,Edward:ARCH-5395-010-TOPICS IN ARCHITECTURE"	Mean	4.1429	4.1429	4.2857	4.5714	4.5714	4.4286
	N	7	7	7	7	7	7
"Baum,Edward:ARCH-5670-004-ADVANCED DESIGN STUDIO"	Mean	4.75	4.9167	4.9167	4.9091	4.6667	5
	N	12	12	12	11	12	12
"Baxter,Corby:ENGL-1301-012-EXPOS WRITING"	Mean	4.3571	4.5714	4.8571	4.7857	4.7857	4.6429
	N	14	14	14	14	14	14
"Baxter,Corby:ENGL-2329-008-AMERICAN LIT"	Mean	4.5	4.2381	4.6667	4.7273	4.7727	4.2857
	N	22	21	21	22	22	21
"Beamon,Krystal:SOCI-1311-002-INTRO TO SOCIO"	Mean	4.3	4.275	4.1026	4.2821	4.025	4.2368
	N	40	40	39	39	40	38
